sub,run,movie_number,onset_sec,r_anger,r_disgust,r_fear,r_happy,r_pain,r_sad
2,6,27,421.17,0,0,0,7,0,0
2,6,28,314.63,0,0,0,8,0,0
2,6,29,30.53,0,0,0,10,0,0
2,6,30,94.08,0,0,0,9,0,0
2,6,31,197.94,0,0,0,10,0,0
2,6,32,373.88,0,0,0,8,0,0
2,6,33,225.96,0,0,0,0,8,0
2,6,34,397.95,0,0,0,0,7,0
2,6,35,159.09,0,0,0,0,8,0
2,6,36,249.33,0,0,0,0,8,0
2,6,37,446.69,0,0,0,0,10,0
2,6,38,349.49,0,0,0,0,10,0
2,6,39,111.56,0,0,0,0,10,0
2,6,40,41.67,0,0,0,0,10,0
2,6,41,379.13,0,0,0,0,0,8
2,6,42,69.29,0,0,0,0,0,8
2,6,43,102.17,0,0,0,0,0,8
2,6,44,164.03,0,0,0,0,3,8
2,6,45,461.69,0,0,0,0,0,10
2,6,46,333.16,0,0,0,0,0,10
2,6,47,203.43,0,0,0,0,0,10
2,6,48,285.44,0,0,0,0,0,10
2,6,49,58.25,0,0,0,0,0,0
2,6,50,183.54,0,0,0,0,0,0
2,6,51,359.87,0,0,0,0,0,0
2,6,52,191.52,0,0,0,0,0,0
2,6,53,307.85,0,0,0,0,0,0
2,6,54,428.82,0,0,0,0,0,0
2,6,55,264.09,0,0,0,0,0,0
2,6,56,83.04,0,0,0,0,0,0
2,7,1,211.89,8,0,0,0,0,0
2,7,2,318.27,8,0,0,0,0,0
2,7,3,169.64,8,0,0,0,0,0
2,7,4,253.01,9,0,0,0,0,0
2,7,5,418.92,0,0,0,0,8,0
2,7,6,80.04,10,0,0,0,0,0
2,7,7,71.53,9,0,0,0,0,0
2,7,8,362.66,9,0,0,0,0,0
2,7,9,398.53,0,7,0,0,0,0
2,7,10,427.11,0,8,0,0,0,0
2,7,11,187.02,0,9,0,0,0,0
2,7,12,334.64,0,9,0,0,0,0
2,7,13,97.63,0,10,0,0,0,0
2,7,14,39.73,0,10,0,0,0,0
2,7,15,148.59,0,10,0,0,0,0
2,7,16,241.68,0,10,0,0,0,0
2,7,17,263.12,0,0,8,0,0,0
2,7,18,228.83,0,0,8,0,0,0
2,7,19,133.98,0,0,7,0,0,0
2,7,20,341.88,0,0,9,0,0,0
2,7,21,382.82,0,0,10,0,0,0
2,7,22,453.71,0,0,10,0,0,0
2,7,23,127.43,0,0,10,0,0,0
2,7,24,45.49,0,0,9,0,0,0
2,7,25,35.02,0,0,0,7,0,0
2,7,26,371.07,0,0,0,7,0,0
2,7,27,107.56,0,0,0,7,0,0
2,7,28,236.65,0,0,0,8,0,0
2,7,29,442.66,0,0,0,10,0,0
2,7,30,307.72,0,0,0,9,0,0
2,7,31,164.39,0,0,0,10,0,0
2,7,32,274.11,0,0,0,8,0,0
2,7,33,116.11,0,0,0,0,8,0
2,7,34,278.91,0,0,0,0,7,0
2,7,35,408,0,0,0,0,8,0
2,7,36,434.26,0,0,0,0,8,0
2,7,37,178.1,0,0,0,0,10,0
2,7,38,52.93,0,0,0,0,10,0
2,7,39,327.26,0,0,0,0,10,0
2,7,40,193.21,0,0,0,0,10,0
2,7,41,376.91,0,0,0,0,0,8
2,7,42,88.01,0,0,0,0,0,8
2,7,43,141.09,0,0,0,0,0,8
2,7,44,299.73,0,0,0,0,3,8
2,7,45,219.43,0,0,0,0,0,10
2,7,46,23.83,0,0,0,0,0,10
2,7,47,469.27,0,0,0,0,0,10
2,7,48,287.88,0,0,0,0,0,10
2,7,49,159.72,0,0,0,0,0,0
2,7,50,387.58,0,0,0,0,0,0
2,7,51,200.88,0,0,0,0,0,0
2,7,52,64.19,0,0,0,0,0,0
2,7,53,292.75,0,0,0,0,0,0
2,7,54,352.94,0,0,0,0,0,0
2,7,55,462.4,0,0,0,0,0,0
2,7,56,121.84,0,0,0,0,0,0
2,8,1,453.34,8,0,0,0,0,0
2,8,2,153.27,8,0,0,0,0,0
2,8,3,253.91,8,0,0,0,0,0
2,8,4,394.27,9,0,0,0,0,0
2,8,5,378.1,0,0,0,0,8,0
2,8,6,292.5,10,0,0,0,0,0
2,8,7,39.12,9,0,0,0,0,0
2,8,8,105.24,9,0,0,0,0,0
2,8,9,336.48,0,7,0,0,0,0
2,8,10,114.75,0,8,0,0,0,0
2,8,11,49.64,0,9,0,0,0,0
2,8,12,302.95,0,9,0,0,0,0
2,8,13,158.21,0,10,0,0,0,0
2,8,14,412.19,0,10,0,0,0,0
2,8,15,206.41,0,10,0,0,0,0
2,8,16,464.48,0,10,0,0,0,0
2,8,17,282.16,0,0,8,0,0,0
2,8,18,142.31,0,0,8,0,0,0
2,8,19,224.57,0,0,7,0,0,0
2,8,20,363.1,0,0,9,0,0,0
2,8,21,30.44,0,0,10,0,0,0
2,8,22,489.67,0,0,10,0,0,0
