sub,video,r_me,original_code,high_low_code,movie_cope_number,actor,emotion
10,AK_P_21.mp4,3.833816880237848,AK_P_21,AK_P_high,11,AK,pain
10,AK_P_59.mp4,0.523361766173851,AK_P_59,AK_P_low,12,AK,pain
10,AK_S_23.mp4,0.35939051184862886,AK_S_23,AK_S_high,13,AK,sad
10,AK_S_06.mp4,-0.418784941131171,AK_S_06,AK_S_low,14,AK,sad
10,AL_A_20.mp4,-0.23240132136723238,AL_A_20,AL_A_high,15,AL,anger
10,AL_A_03.mp4,-0.3938194481079181,AL_A_03,AL_A_low,16,AL,anger
10,AL_D_29.mp4,0.00763096967289234,AL_D_29,AL_D_high,17,AL,disgust
10,AL_D_12.mp4,-0.8777420789473864,AL_D_12,AL_D_low,18,AL,disgust
10,AL_F_46.mp4,1.4931420390220789,AL_F_46,AL_F_high,19,AL,fear
10,AL_F_08.mp4,-0.5081045528367341,AL_F_08,AL_F_low,20,AL,fear
10,AL_H_31.mp4,-0.4031232125229413,AL_H_31,AL_H_high,21,AL,happy
10,AL_H_03.mp4,-1.0724659736197357,AL_H_03,AL_H_low,22,AL,happy
