sub,run,movie_number,onset_sec,rating
2,8,34,438.12,4
2,8,35,173.47,4
2,8,36,344.55,5
2,8,37,120.1,7
2,8,38,417.77,7
2,8,39,75.47,6
2,8,40,277.57,7
2,8,41,244.06,3
2,8,42,94.84,3
2,8,43,313.34,4
2,8,44,181.23,6
2,8,45,327.42,7
2,8,46,23.95,6
2,8,47,444.34,6
2,8,48,399.75,8
2,8,49,321.64,1
2,8,50,484.04,1
2,8,51,353.86,1
2,8,52,259.74,1
2,8,53,67.73,1
2,8,54,87.07,1
2,8,55,427.47,2
2,8,56,191.66,2
3,1,1,57.73,5
3,1,2,349.96,2
3,1,3,289.65,5
3,1,4,93.62,3
3,1,5,160.3,6
3,1,6,214.43,5
3,1,7,430.59,5
3,1,8,404.81,5
3,1,9,423.65,4
3,1,10,319.64,2
3,1,11,308.57,4
3,1,12,187.61,5
3,1,13,221.42,3
3,1,14,77.38,5
3,1,15,85.22,6
3,1,16,411.66,6
3,1,17,202.09,5
3,1,18,361.19,5
3,1,19,123.42,5
3,1,20,152.96,4
3,1,21,273.53,7
3,1,22,24.83,7
3,1,23,456.25,8
3,1,24,394.87,6
3,1,25,326.17,2
3,1,26,168.62,2
3,1,27,131.76,2
3,1,28,47.28,2
3,1,29,231.25,4
3,1,30,445.31,3
3,1,31,299.63,4
3,1,32,389.79,5
3,1,33,238.6,5
3,1,34,461.86,3
3,1,35,344.59,5
3,1,36,283.38,2
3,1,37,102.37,7
3,1,38,375.88,6
3,1,39,175.21,6
3,1,40,30.42,6
3,1,41,113.73,3
3,1,42,197.28,4
3,1,43,437.48,5
3,1,44,208.17,5
3,1,45,382.59,7
3,1,46,266.31,6
3,1,47,66.83,6
3,1,48,334.36,8
3,1,49,259.36,1
3,1,50,417.44,1
3,1,51,472.42,1
3,1,52,141.97,1
3,1,53,183,1
3,1,54,248.57,6
3,1,55,370.51,1
3,1,56,41.27,2
3,2,1,24.7,5
3,2,2,70.93,2
3,2,3,494.15,5
3,2,4,422.91,3
3,2,5,157.49,6
3,2,6,383.79,5
3,2,7,280.87,5
3,2,8,236.27,5
3,2,9,87.57,4
3,2,10,36.17,2
3,2,11,299.67,4
3,2,12,374.36,5
3,2,13,167.73,3
3,2,14,499.94,5
3,2,15,253.74,6
3,2,16,433.08,6
3,2,17,227.38,5
3,2,18,47.24,5
3,2,19,345.62,5
3,2,20,194.77,4
3,2,21,392.06,7
3,2,22,107.31,7
3,2,23,482.96,8
3,2,24,263.75,6
3,2,25,271.55,2
3,2,26,219.14,2
3,2,27,128.28,2
3,2,28,416.93,2
3,2,29,352.78,4
3,2,30,455.98,3
3,2,31,176.31,4
3,2,32,64.74,5
3,2,33,473.06,5
3,2,34,183.26,3
3,2,35,207.72,5
3,2,36,402.13,2
3,2,37,31.24,7
3,2,38,363.48,6
3,2,39,315.53,6
3,2,40,116.74,6
3,2,41,201.74,3
3,2,42,59.24,4
3,2,43,439.69,5
3,2,44,290.64,5
3,2,45,146.82,7
3,2,46,96.27,6
3,2,47,466.39,6
3,2,48,334.66,8
3,2,49,448.16,1
